ID,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,Subsection Name,Subsection Description,NTEE_CD,Category,IRS_NTEE_Code2_Description,AFFILIATION,Aff_Type,IRS_Affiliation_Codes_Description,Ded_Code,Ded_Description,Foundation_Code,Foundation_Description,Org_Code,Org_Description,EO_Status_Code,EO_Description,Asset_Income_Code,IRS_Asset_Income_Codes_Description,Filing_Code,IRS_Filing_Codes_Description,PF_Filing_Code,IRS_PF_Filing_Codes_Description,ASSET_AMT,INCOME_AMT,REVENUE_AMT
,582659784,SAPIENTIS INC,,800 R H TODD AVE PDA 18 COMERCIAL 1,SANTURCE,PR,00907-4830,Charitable and religious,Charitable and religious,P99,Human Services - Multipurpose and Other,Human Services - Multipurpose and Other N.E.C.,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,5,500,000 to 999,,999,,1,0,402170
,611417308,SOCIEDAD AMBIENTE MARINO INC,% SAMUEL SULEIMAN,PO BOX 22158,SANJUAN,PR,00931-2158,Charitable and religious,Charitable and religious,B80,Education,Student Services, Organizations of Students,3,,Independent,1,Contributions are deductible. ,,15,1,Corporation,1,Unconditional Exemption,3,25,,000 to 99,,999,1,0
,611497135,NIRVANA TEMPLE INC,% MAY TRIEU,42 KRONPRINDSENS GADE,ST THOMAS,VI,00802-0000,Charitable and religious,Charitable and religious,X50,Religion-Related, Spiritual Development,Buddhist,3,,Independent,1,Contributions are deductible. ,,10,1,Corporation,1,Unconditional Exemption,0,0,,6,,0,,
,621851470,NATIONAL EXCHANGE CLUB,% JAIME COLON-BARRIOS,133G SANTANA,ARECIBO,PR,00612-5340,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,2,Contributions are not deductible. ,,5,Association,1,Unconditional Exemption,,0,,0,2,0
,650225746,RELIGIOUS OF THE APOSTOLATE OF FLORIDA INC,,PO BOX 8300,PONCE,PR,00732-8300,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,656353294,ZAMAN CHARITABLE TR,% WENDY ZAMAN,BOX 48,APO,AP,96546-0000,Charitable and religious,Charitable and religious,T20,Philanthropy, Voluntarism and Grantmaking Foundations,Private Grantmaking Foundations,3,,Independent,1,Contributions are deductible. ,,,1,Corporation,1,Unconditional Exemption,1,1 to 9,,999,,0,1,3136
,660056721,LEGION AMERICANA CAPITULO 154,,HC 1 BOX 1151,BOQUERON,PR,00622-9796,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,W30,Public,, Society Benefit - Multipurpose and Other,Military, Veterans' Organizations,,3,Independent,2,Contributions are not deductible. ,,1,Corporation,,1,,Unconditional Exemption,0,0
,660177776,INTER AMERICAN UNIVERSITY OF PUERTO RICO,,PO BOX 363255,SAN JUAN,PR,00936-3255,Charitable and religious,Charitable and religious,B430,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,9,50,0,,000 to greater,,1,0,540876736
,660177824,PRESBYTERIAN COMMUNITY HOSPITAL INC,,PO BOX 9020032,SAN JUAN,PR,00902-0032,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,12,,1,Corporation,1,Unconditional Exemption,9,50,0,,000 to greater,,1,0,51020452
,660178704,SOCIEDAD ESPANOLA DE AUXILIO MUOT Y BENEFICENCIA DE PUERTO RICO,,PO BOX 191227,SAN JUAN,PR,00919-1227,Charitable and religious,Charitable and religious,E220,,,1,Central,,1,Contributions are deductible. ,12,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660188854,ASOCIACION CRISTIANA DE MUJERES JOVENES DE PUERTO RICO YWCA,,PO BOX 101111,SAN JUAN,PR,00908-0000,Charitable and religious,Charitable and religious,P27,Human Services - Multipurpose and Other,Young Men's or Women's Associations (YMCA, YWCA, YWHA,, YMHA),3,Independent,,1,Contributions are deductible. ,15,1,Corporation,1,Unconditional Exemption,,0,,0,1,0
,660190784,YMCA OF SAN JUAN,,PO BOX 360590,SAN JUAN,PR,00936-0590,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,15,,5,Association,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660191840,ASOCIACION PUERTORRIQUENA DEL,,PO BOX 195247,SAN JUAN,PR,00919-5247,Charitable and religious,Charitable and religious,G45,Diseases, Disorders, Medical Disciplines,Lung Disease,,3,Independent,1,,Contributions are deductible. ,15,1,Corporation,1,Unconditional Exemption,4,,100,,000 to 499,999,1
,660191841,PUERTO RICO CANCER AND HEALTH FOUNDATION INC,% HOSPITAL ONCOLOGICO ANDRES GRILLA,PO BOX 336780,PONCE,PR,00733-6780,Charitable and religious,Charitable and religious,E24,Health - General and Rehabilitative,Hospital, Specialty,3,,Independent,1,Contributions are deductible. ,,12,1,Corporation,1,Unconditional Exemption,4,100,,000 to 499,,999,1,0
,660191857,COLEGIO PONCENO INC,,1900 CARR 14,COTO LAUREL,PR,00780-2147,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,11,,5,Association,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,13
,660191935,CASA DE NINOS MANUEL FERNANDEZ JUNCOS INC,,PO BOX 9020163,SAN JUAN,PR,00902-0163,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660191965,PONTIFICAL CATHOLIC UNIVERSITY OF PUERTO RICO,% THE ORGANIZATION,2250 BLVD LUIS A FERRE SUITE 523,PONCE,PR,00717-0655,Charitable and religious,Charitable and religious,B430,,,9,Subordinate,,1,Contributions are deductible. ,11,,5,Association,1,Unconditional Exemption,9,50,0,,000 to greater,,1,0,124850416
,660194640,ASOCIACION MEDICA DE PUERTO RICO,,PO BOX 9387,SAN JUAN,PR,00908-0387,Charitable and religious,Charitable and religious,E19,Health - General and Rehabilitative,Nonmonetary Support N.E.C.,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,218540
,660196040,INSTITUTO PSICOPEDAGOGICO DE P R,% AIXA RIVERA ACCOUNTANT,PO BOX 363744,SAN JUAN,PR,00936-3744,Charitable and religious,Charitable and religious,F33,Mental Health, Crisis Intervention,Group Home, Residential Treatment Facility - Mental Health Related,,3,Independent,1,,Contributions are deductible. ,16,1,Corporation,1,Unconditional Exemption,6,,1,,0,000 to 4,999
,660197834,IGLESIA EPISCOPAL PUERTORRIQUENA INC,,PO BOX 902,SAINT JUST,PR,00978-0902,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,10,,1,Corporation,1,Unconditional Exemption,0,0,6,,0,,,,
,660197896,COLEGIO SAN JOSE MARIANIST CORP,% FRANCISCO T GONZALEZ SM MD,PO BOX 21300,SAN JUAN,PR,00928-1300,Charitable and religious,Charitable and religious,B25,Education,Secondary, High School,3,,Independent,1,Contributions are deductible. ,,11,1,Corporation,1,Unconditional Exemption,7,5,,0,,000 to 9,999,999
,660199364,SAINT JOHNS SCHOOL,,1454 AVE ASHFORD,SAN JUAN,PR,00907-1542,Charitable and religious,Charitable and religious,B20Z,,,3,Independent,,1,Contributions are deductible. ,11,,5,Association,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660200470,CARIBE GIRL SCOUTS COUNCIL INC,,500 ELISA COLBERG ST,SAN JUAN,PR,00907-2607,Charitable and religious,Charitable and religious,O420,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660201809,BOY SCOUTS OF AMERICA,,AVE ESMERALDO 405,GUAYNABO,PR,00969-4482,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,15,,5,Association,1,Unconditional Exemption,0,0,1,,0,,,,
,660202913,HOGAR DE NINAS DE CUPEY INC,% BANCO POPULAR DE PUERTO RICO,PO BOX 20667,SAN JUAN,PR,00928-0667,Charitable and religious,Charitable and religious,P430,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,5,500,000 to 999,,999,,1,0,1220836
,660204707,SOCIEDAD PRO HOSPITAL DEL NINO,,PO BOX 2124,SAN JUAN,PR,00922-2124,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,7,5,0,,000 to 9,,999,999,1
,660204776,BELLA VISTA HOSPITAL INC,,PO BOX 1750,MAYAGUEZ,PR,00681-1750,Charitable and religious,Charitable and religious,E20Z,,,3,Independent,,1,Contributions are deductible. ,12,,1,Corporation,1,Unconditional Exemption,0,0,13,,0,,,,
,660204831,YMCA OF PONCE,,7843 CALLE NAZARET,PONCE,PR,00717-1005,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,15,,5,Association,1,Unconditional Exemption,5,500,000 to 999,,999,,1,0,862028
,660205634,LIGA PUERTORRIQUENA CONTRA EL CANCE,%,PO BOX 191811,SAN JUAN,PR,00919-1811,Charitable and religious,Charitable and religious,E22,Health - General and Rehabilitative,Hospital, General,3,,Independent,1,Contributions are deductible. ,,12,1,Corporation,1,Unconditional Exemption,0,0,,2,,0,0,0
,660207156,UNIVERSIDAD DEL SAGRADO CORAZON INC,,PO BOX 214,SAN JUAN,PR,00914-0000,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,0,0,14,,0,,,,
,660207947,SOCIEDAD DE EDUCACION Y REHABILITACION SER DE P R,,PO BOX 364189,SAN JUAN,PR,00936-4189,Charitable and religious,Charitable and religious,E50,Health - General and Rehabilitative,Rehabilitative Medical Services,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660208675,COLEGIO HOGAR ANGELES CUSTODIOS URB PUBLICA SAN JOSE,,13 CALLE SICILIA,SAN JUAN,PR,00923-1773,Charitable and religious,Charitable and religious,B20,Education,Elementary, Secondary Education, K - 12,,3,Independent,1,,Contributions are deductible. ,11,1,Corporation,1,Unconditional Exemption,0,,0,,1,0,
,660212966,COLEGIO SAN IGNACIO DE LOYOLA,,1940 CALLE SAUCO,SAN JUAN,PR,00927-6718,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,660214426,COLEGIO SAGRADO CORAZON DE JESUS,,PO BOX 331510,PONCE,PR,00733-1510,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,6
,660215050,INSTITUTO DEL HOGAR CELIA Y HARRIS BUNKER INC,,PO BOX 20155,SAN JUAN,PR,00928-0155,Charitable and religious,Charitable and religious,P40Z,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,170349
,660219031,FUNDACION MODESTO GOTAY PRO NINOS MENTALMENTE IMPEDIDOS INC,,PO BOX 665,TRUJILLO ALTO,PR,00977-0665,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660219758,MENNONITE GENERAL HOSPITAL INC,% THE ORGANIZATION,PO BOX 1379,AIBONITO,PR,00705-1379,Charitable and religious,Charitable and religious,E220,,,3,Independent,,1,Contributions are deductible. ,12,,1,Corporation,1,Unconditional Exemption,9,50,0,,000 to greater,,1,0,235641914
,660219759,WESLEYAN ACADEMY,% MS CONNIE CORNELL DIRECTOR,PO BOX 1489,GUAYNABO,PR,00970-1489,Charitable and religious,Charitable and religious,,,,9,Subordinate,,2,Contributions are not deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,660223136,UNION CHURCH OF SAN JUAN,% ALAN T UDALL,2310 CALLE LAUREL,SAN JUAN,PR,00913-4637,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,10,,1,Corporation,1,Unconditional Exemption,0,0,6,,0,,,,
,660225823,CENTRO GERIATRICO SAN RAFAEL,% ASILO DE ANCIANOS,49 CALLE CERVANTES,ARECIBO,PR,00612-4558,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,660226500,CARIBEAN SYNOD OF THE EVANGELICAL LUTHERAN CHURCH IN AMERICA,,PMB 359 RD 693 STE 1,DORADO,PR,00646-0000,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,660227304,HOSPITAL DE LA CONCEPCION INC,,PO BOX 285,SAN GERMAN,PR,00683-0285,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,12,,5,Association,1,Unconditional Exemption,9,50,0,,000 to greater,,1,0,84177330
,660231353,FEDERATION OF YOUNG MENS CHRISTIAN ASSOCIATIONS OF PUERTO RICO INC,,PO BOX 360590,SAN JUAN,PR,00936-0590,Charitable and religious,Charitable and religious,,,,6,Central,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,0,0,2,,0,,0,0,0
,660232211,ASOCIACION UNITY DE CRISTIANISMO PRACTICO DE PUERTO RICO,,PO BOX 12108,SAN JUAN,PR,00914-0108,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,1,,0,,,,
,660234412,CARLOS ALBIZU UNIVERSITY,,PO BOX 9023711,SAN JUAN,PR,00902-3711,Charitable and religious,Charitable and religious,B12,Education,Fund Raising and/or Fund Distribution,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660234885,CARIBBEAN SCHOOL INC,,1689 CALLE NAVARRA,PONCE,PR,00730-4043,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660235625,LUIS A FERRE FOUNDATION INC,,PO BOX 9027,PONCE,PR,00732-9027,Charitable and religious,Charitable and religious,A510,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660238586,JEWISH COMMUNITY CENTER OF PUERTO RICO,,903 AVE PONCE DE LEON,SAN JUAN,PR,00907-3329,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,10,,1,Corporation,1,Unconditional Exemption,0,0,6,,0,,,,
,660244040,CORPORACION EDUCATIVA RAMON BARQUIN,% OFFICERS OF THE CORPORATION,PO BOX 7884,GUAYNABO,PR,00970-7884,Charitable and religious,Charitable and religious,Z99Z,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,7,5,0,,000 to 9,,999,999,1
,660256735,CASA MANRESA CALLE DEGETAU,,PO BOX 1319,AIBONITO,PR,00705-1319,Charitable and religious,Charitable and religious,P46,Human Services - Multipurpose and Other,Family Counseling,3,Independent,,1,Contributions are deductible. ,16,,1,Corporation,1,Unconditional Exemption,5,500,000 to 999,,999,,1,0,780366
,660258767,CARIBBEAN CONSOLIDATED SCHOOLS INC,% CARIBBEAN PREPARATORY SCHOOL,PO BOX 70177,SAN JUAN,PR,00936-8177,Charitable and religious,Charitable and religious,B25,Education,Secondary, High School,3,,Independent,1,Contributions are deductible. ,,11,1,Corporation,1,Unconditional Exemption,7,5,,0,,000 to 9,999,999
,660258919,RYDER MEMORIAL HOSPITAL INC,,PO BOX 859,HUMACAO,PR,00792-0859,Charitable and religious,Charitable and religious,E220,,,3,Independent,,1,Contributions are deductible. ,12,,1,Corporation,1,Unconditional Exemption,9,50,0,,000 to greater,,1,0,53435136
,660259184,UNITED STATES POWER SQUADRONS,% EDIBERTO QUINONES,2 N-37 JARDINES FAGOT,PONCE,PR,00716-0000,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,16,,5,Association,1,Unconditional Exemption,0,0,2,,0,,0,0,0
,660261624,PRIMERA IGLESIA BAUTISTA PLAYA PONCE,,PO BOX 34112,PONCE,PR,00734-4112,Charitable and religious,Charitable and religious,X21,Religion-Related, Spiritual Development,Protestant,3,,Independent,1,Contributions are deductible. ,,10,1,Corporation,1,Unconditional Exemption,0,0,,6,,0,,
,660261701,LA CASA DEL LIBRO INC,% JORGE RIGAU,PO BOX 9023544,SAN JUAN,PR,00902-3544,Charitable and religious,Charitable and religious,A50,Arts, Culture and Humanities,Museum, Museum Activities,,3,Independent,1,,Contributions are deductible. ,15,1,Corporation,1,Unconditional Exemption,0,,0,,1,0,
,660264286,FUNDACION DE DESARROLLO COMUNAL DE P R INC,,PO BOX 6300,CAGUAS,PR,00726-6300,Charitable and religious,Charitable and religious,L410,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660265391,PUERTO RICO LEGAL SERVICES INCORPORATED,,PO BOX 9134,SAN JUAN,PR,00908-0134,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660265804,COLEGIO EVANGELICO CAPITAN CORREA INC,,PO BOX 142247,ARECIBO,PR,00614-2247,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,0,0,13,,0,,,,
,660265919,PRIMERA INGLESIA DEL NAZARENO,,PO BOX 823,PONCE,PR,00780-0823,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,10,,1,Corporation,1,Unconditional Exemption,0,0,6,,0,,,,
,660268234,ESPERANZA PARA LA VEJEZ INC,,URB LOMAS VERDES 2G 1,BAYAMON,PR,00956-0000,Charitable and religious,Charitable and religious,P20Z,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660269222,FONDOS UNIDOS DE PUERTO RICO INC,,PO BOX 191914,SAN JUAN,PR,00919-1914,Charitable and religious,Charitable and religious,T700,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,7,5,0,,000 to 9,,999,999,1
,660271454,HARVEY FOUNDATION INC,% 1519 PONCE DE LEON,FIRST FEDERAL BLDG STE 507,SAN JUAN,PR,00909-0000,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,0,1,2280874
,660272715,UNITED STATES POWER SQUADRONS,% DAVID GIL-DE-RUBIO-MARTINEZ,PO BOX 8726,BAYAMON,PR,00960-8726,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,16,,5,Association,1,Unconditional Exemption,3,25,000 to 99,,999,,1,0,110600
,660272821,BALDWIN SCHOOL OF PUERTO RICO INC,,PO BOX 1827,BAYAMON,PR,00960-1827,Charitable and religious,Charitable and religious,B20,Education,Elementary, Secondary Education, K - 12,,3,Independent,1,,Contributions are deductible. ,11,1,Corporation,1,Unconditional Exemption,8,,10,,0,000 to 49,999
,660273258,JUNIOR ACHIEVEMENT OF PUERTO RICO,,PO BOX 365064,SAN JUAN,PR,00936-5064,Charitable and religious,Charitable and religious,Q320,,,9,Subordinate,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,3,25,000 to 99,,999,,2,0,13403
,660276355,ASPIRA INC DE PUERTO RICO,,PO BOX 29132,RIO PIEDRAS,PR,00929-0132,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660276597,CASA LA PROVIDENCIA,,PO BOX 9020614,SAN JUAN,PR,00902-0614,Charitable and religious,Charitable and religious,F226,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,230902
,660277132,EDP UNIVERSITY OF PR INC,% EDP COLLEGE OF PUERTO RICO,PO BOX 192303,SAN JUAN,PR,00919-2303,Charitable and religious,Charitable and religious,B40,Education,Higher Education Institutions,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660277396,CENTROS SOR ISOLINA FERRE INC,,PO BOX 7313,PONCE,PR,00732-7313,Charitable and religious,Charitable and religious,P840,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660288581,PUERTO RICO CONSERVATION TRUST,,PO BOX 9023554,SAN JUAN,PR,00902-3554,Charitable and religious,Charitable and religious,C300,,,3,Independent,,1,Contributions are deductible. ,17,,2,Trust,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660289157,ST LUKES EPISCOPAL CHURCH HOME CARE PROGRAM,,PO BOX 7064,PONCE,PR,00732-7064,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660289274,FEDERACION DE BEISBOL AFICIONADO DE PUERTO RICO,,PO BOX 191897,SAN JUAN,PR,00919-1897,Charitable and religious,Charitable and religious,N63,Recreation, Sports, Leisure, Athletics,,Baseball, Softball,3,,Independent,1,Contributions are deductible. ,15,1,Corporation,1,,Unconditional Exemption,,6,1,0
,660292961,CONSEJO DE SALUD DE PUERTO RICO INC,,1034 AVE HOSTOS,PONCE,PR,00716-1115,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,12,,1,Corporation,1,Unconditional Exemption,9,50,0,,000 to greater,,1,0,40430503
,660307031,EL INSTITUTO DE ORIENTACION Y TERAPIA FAMILIAR,% ROSA L RAMIREZ,PO BOX 861,CAGUAS,PR,00726-0861,Charitable and religious,Charitable and religious,P40,Human Services - Multipurpose and Other,Family Services,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,58473
,660310354,PADRES ESCOLAPIOS DE P R INC,,PO BOX 29067,SAN JUAN,PR,00929-0067,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,660310437,CENTRO GERIATRICO LA MILAGROSA,,PO BOX 2247,MAYAGUEZ,PR,00681-2247,Charitable and religious,Charitable and religious,L22,Housing, Shelter,Senior Citizens' Housing/Retirement Communities,3,,Independent,1,Contributions are deductible. ,,15,1,Corporation,1,Unconditional Exemption,4,100,,000 to 499,,999,1,0
,660312587,SOCIEDAD PUERTORRIQUEFIA DE EPILEPSIA INC,,1100 CALLE MARGINAL RUIZ SOLER,BAYAMON,PR,00959-0000,Charitable and religious,Charitable and religious,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,39509
,660313822,TEEN CHALLENGE DE PUERTO RICO INC,,PO BOX 4273,BAYAMON,PR,00958-1273,Charitable and religious,Charitable and religious,O50,Youth Development,Youth Development Programs, Other,3,,Independent,1,Contributions are deductible. ,,15,1,Corporation,1,Unconditional Exemption,6,1,,0,,000 to 4,999,999
,660314537,ACADEMIA CRISTO REY INC,,AVE TITO CASTRO-STE 102 P M B 361,PONCE,PR,00716-0000,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,0,0,13,,0,,,,
,660314618,HOGAR CREA INC,,PO BOX 547,TRUJILLO ALTO,PR,00977-0547,Charitable and religious,Charitable and religious,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660319405,OBLATAS DEL SANTISIMO REDENTOR INC BO CERRO GORDO BAYAMON PR 00619,,PO BOX 4228,BAYAMON,PR,00958-1228,Charitable and religious,Charitable and religious,I72Z,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,512892
,660320885,SOUTHWESTERN EDUCATIONAL SOCIETY INC,% SOUTWESTERN EDUCATIONAL SOCIETY,PO BOX 40,MAYAGUEZ,PR,00681-0040,Charitable and religious,Charitable and religious,B99Z,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660321594,AMERICAN CANCER SOCIETY INC,% CATHERINE E MICKLE CFO,CALLE ALVERIO 577 ESQ SARG MED,HATO REY,PR,00918-3725,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,7,5,0,,000 to 9,,999,999,1
,660323248,ASOCIACION DE INTERCAMBIO CULTURAL INC,,PO BOX 10430,SAN JUAN,PR,00922-0430,Charitable and religious,Charitable and religious,P200,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660326790,SILO MISION CRISTIANA INC,,PO BOX 1781,VEGA BAJA,PR,00694-1781,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,835638
,660327584,BOYS & GIRLS CLUBS OF PUERTO RICO INC,% JOSE CAMPOS,AVEBARBOSA 569URBVALENCIA FAAA,RIO PIERAS,PR,00918-0000,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,660329532,SALUD INTEGRAL EN LA MONTANA INC,,PO BOX 515,NARANJITO,PR,00719-0515,Charitable and religious,Charitable and religious,E320,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,9,50,0,,000 to greater,,1,0,45301732
,660329776,HUMANE SOCIETY OF PUERTO RICO INC,% BELINDA SOARS,PO BOX 2387,GUAYNABO,PR,00970-2387,Charitable and religious,Charitable and religious,D20,Animal-Related,Animal Protection and Welfare,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,660330313,SOCIEDAD BIBLICA DE PUERTO RICO E ISLAS VIRGENES INC,,PO BOX 21095,SAN JUAN,PR,00928-1095,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,1549097
,660330845,SECOND UNION CHURCH OF SAN JUAN,,2109 MILETO URB ALTO APOL O,GUAYNABO,PR,00969-0000,Charitable and religious,Charitable and religious,X21,Religion-Related, Spiritual Development,Protestant,3,,Independent,1,Contributions are deductible. ,,10,1,Corporation,1,Unconditional Exemption,0,0,,6,,0,,
